Author,First name,Predicted gender
Utting  D.J.,Utting,Unknown
Chowdhury  S.,Chowdhury,Male
Klassen  J.,Klassen,Unknown
Branscombe  P.,Branscombe,Unknown
MacCormack  T.J.,MacCormack,Unknown
Babakhani  M.,Babakhani,Male
Huff  G.F.,Huff,Male
Schultz  R.J.,Schultz,Male
Shen  L.,Shen,Male
Pawley  S.M.,Pawley,Unknown
Singh  A.,Singh,Male
Andriashek  L.A.,Andriashek,Unknown
Atkinson  N.,Atkinson,Male
Hauck  T.E.,Hauck,Male
Nakevska  N.,Nakevska,Unknown
Hartman  G.M.D.,Hartman,Male
Pana  D.I.,Pana,Male
Atkinson  L.A.,Atkinson,Male
Peterson  J.T.,Peterson,Male
Fildes  B.J.  comp.,Fildes,Male
Pawley  S.,Pawley,Unknown
Smerdon  B.D.,Smerdon,Male
Haug  K.,Haug,Male
MacCormack  K.E.,MacCormack,Unknown
Lyster  S.,Lyster,Male
Atkinson  L. A.,Atkinson,Male
Liggett  J.E.,Liggett,Male
Rokosh  C.D.,Rokosh,Unknown
Chao  D.K.,Chao,Male
Fugro Airborne Surveys,Fugro,Unknown
Stewart  S.A.,Stewart,Male
Alberta Energy RegulatorAlberta Geological Survey,Alberta,Female
Toth  J.,Toth,Male
Glombick  P.M.,Glombick,Unknown
Environment and Sustainable Resource Development,Environment,Male
Riddell  J.T.F.,Riddell,Male
Prior  G.J.,Prior,Male
Stern  V.H.,Stern,Unknown
Fenton  M.M.,Fenton,Male
Andriashek  L.D.,Andriashek,Unknown
Hamilton  W.N.,Hamilton,Male
Shipman  T.C.,Shipman,Male
Hathway  B.,Hathway,Female
Slattery  S.R.,Slattery,Male
Mougeot  C.,Mougeot,Unknown
Michael  K.,Michael,Male
Energy Resources Conservation BoardAlberta Geological Survey,Energy,Male
Eccles  D.R.,Eccles,Unknown
Budney  H.D.,Budney,Unknown
Berhane  H.,Berhane,Male
Langenberg  C.W.,Langenberg,Female
Matveeva  T.M.,Matveeva,Female
Geological Survey of CanadaPaulen  R.C.,Geological,Unknown
Alberta Environment,Alberta,Female
Kafle  B.,Kafle,Male
Boydell  A.N.,Boydell,Unknown
Bayrock  L.A.,Bayrock,Unknown
Moran  S.R.,Moran,Unknown
Roed  M.A.,Roed,Male
Lemay  T.G.,Lemay,Unknown
Smith  G.G.,Smith,Male
Creaney  S.,Creaney,Unknown
Bachu  S.,Bachu,Male
Bell  J.S.,Bell,Female
O'Connell  S.C.,O'Connell,Female
Kent  D.M.,Kent,Male
Dawson  F.M.,Dawson,Male
Krause  F.F.,Krause,Male
Bhattacharya  J.P.,Bhattacharya,Unknown
Reinson  G.E.,Reinson,Male
Leckie  D.A.,Leckie,Male
Hayes  B.J.R.,Hayes,Unknown
Poulton  T.P.,Poulton,Male
Smith  D.G.,Smith,Male
Edwards  D.E.,Edwards,Male
Henderson  C.M.,Henderson,Male
Richards  B.C.,Richards,Male
Halbertsma  H.L.,Halbertsma,Unknown
Switzer  S.B.,Switzer,Male
Oldale  H.S.,Oldale,Male
Meijer Drees  N.C.,Meijer,Male
Norford  B.S.,Norford,Unknown
Slind  O.L.,Slind,Unknown
Burwash  R.A.,Burwash,Unknown
Ross  G.M.,Ross,Male
Wright  G.N.,Wright,Male
Pana  C.,Pana,Male
Pawlowicz  J.G.,Pawlowicz,Unknown
Shetsen  I.,Shetsen,Unknown
Mei  S.,Mei,Female
Trommelen  M.S.,Trommelen,Female
Godfrey  J.D.,Godfrey,Male
Olson  R.A.,Olson,Male
Kupsch  B.G.,Kupsch,Unknown
Paulen  R.C.,Paulen,Unknown
Alberta Geological Survey,Alberta,Female
Edwards  W.A.D.,Edwards,Male
Price  M.,Price,Male
Alberta Energy and Utilities BoardAlberta Geological Survey,Alberta,Female
Wynne  D.A.,Wynne,Female
Campbell  J.E.,Campbell,Male
nan,nan,Female
Warren  J.E.,Warren,Male
Galloway  E.J.,Galloway,Male
Mckay  K.,Mckay,Male
Lopez  G.P.,Lopez,Male
Schmitt  D.R.,Schmitt,Unknown
Smith  D.,Smith,Male
Corlett  H.,Corlett,Female
Hughes  A.T.,Hughes,Male
Crocq  C.S.,Crocq,Female
Larch Consulting Ltd.,Larch,Unknown
Moktan  H.,Moktan,Male
Mumpy  A.J.,Mumpy,Female
Waters  E.J.,Waters,Male
Bechtel  D.J.,Bechtel,Female
Barker  A.A.,Barker,Male
Jean  G.M.,Jean,Male
Plouffe  A.,Plouffe,Unknown
Cameron  A.R.,Cameron,Male
Allan  J.,Allan,Male
Price  P.R.,Price,Male
Christopher  J.E.,Christopher,Male
Evans  C.G.,Evans,Male
Deutsch  K.B.,Deutsch,Male
Warters  W.J.,Warters,Unknown
Barclay  J.E.,Barclay,Male
Holland  W.G.,Holland,Male
Munday  R.J.,Munday,Male
Haidl  F.M.,Haidl,Unknown
Andrews  G.D.,Andrews,Male
McGregor  C.R.,McGregor,Male
Broome  J.,Broome,Male
McMechan  M.E.,McMechan,Unknown
Reimchen  T.H.F.,Reimchen,Unknown
Nicoll  T.J.,Nicoll,Female
Kowalchuk  C.J.,Kowalchuk,Unknown
Dufresne  M.B.,Dufresne,Male
Beaton  A.P.,Beaton,Male
Weiss  J.A.,Weiss,Male
Jean  G.,Jean,Male
Kendall  A.N.,Kendall,Male
Anderson  S.D.A.,Anderson,Male
Bustin  R.M.,Bustin,Female
Cole  K.S.,Cole,Male
McLellan  P.J.,McLellan,Unknown
Marsh  R.,Marsh,Male
Joiner  S.D.,Joiner,Male
Cox  J.,Cox,Male
Bloch  J.,Bloch,Unknown
Rosenthal  L.,Rosenthal,Unknown
Gibson  D.W.,Gibson,Unknown
Bryan  D.,Bryan,Unknown
Christie  D.S.,Christie,Unknown
Bezys  R.K.,Bezys,Unknown
Murray  D.L.,Murray,Male
Wilson  J.A.,Wilson,Male
Miles  W.,Miles,Male
Potter  D.E.G.,Potter,Male
Sciarra  J.N.,Sciarra,Male
Smith  I.R.,Smith,Male
Hickin  A.S.,Hickin,Male
Fildes  B.J.,Fildes,Male
Brazzoni  T.,Brazzoni,Unknown
Gu  Y.J.,Gu,Male
Brock  E.,Brock,Male
Chisholm  S.,Chisholm,Male
Fowler  M.G.,Fowler,Male
Richardson  R.,Richardson,Male
Gilboy  C.F.,Gilboy,Male
Los  G.,Los,Male
Losert  J.,Losert,Male
Kvill  G.E.,Kvill,Unknown
Hartling  A.,Hartling,Male
Graf  G.C.,Graf,Male
Cecile  M.P.,Cecile,Female
Ward  B.C.,Ward,Male
Banks  C.J.,Banks,Male
Eaton  D.W.,Eaton,Male
Heikkinen  C.,Heikkinen,Male
Brooks  P.W.,Brooks,Male
Hall  R.L.,Hall,Male
Norris  B.,Norris,Male
McKercher  B.,McKercher,Unknown
Tittemore  J.,Tittemore,Unknown
Halton  E.,Halton,Male
Hedinger  A.S.,Hedinger,Male
McCabe  H.R.,McCabe,Male
Paterson  D.F.,Paterson,Male
Hay  D.C.,Hay,Male
Osadetz  K.G.,Osadetz,Unknown
Hills  L.V.,Hills,Male
Minken  D.F.,Minken,Unknown
Gilchrist  R.D.,Gilchrist,Male
Hinds  R.C.,Hinds,Male
McAuley  R.J.,McAuley,Male
Salas  C.J.,Salas,Male
Chen  D.,Chen,Male
Schneider  C.L.,Schneider,Male
Macqueen  R.W.,Macqueen,Male
Tremblay  Y.M.,Tremblay,Male
Wierzbicki  R.A.,Wierzbicki,Male
Tawadros  E.E.,Tawadros,Female
Cheng  Y.,Cheng,Male
Grobe  M.,Grobe,Male
Snowdon  L.R.,Snowdon,Male
Fennell  J.W.,Fennell,Male
Packard  J.J.,Packard,Male
Mack  T.,Mack,Male
Elgr  R.,Elgr,Male
Riediger  C.L.,Riediger,Male
